,Date,Time,Wellside Pressure,Measured Density,Slurry Rate,Pump Time
72,9/10/2020,5:39:34,6253.484326200001,0.0,16.825104,1.2
73,9/10/2020,5:39:35,6248.5294923,0.0,16.981375,1.2166666666666666
74,9/10/2020,5:39:36,6247.415478600001,0.0,17.450186,1.2333333333333334
75,9/10/2020,5:39:37,6239.032470900001,0.0,17.424141,1.25
76,9/10/2020,5:39:38,6236.4199221,0.0,17.6325,1.2666666666666666
77,9/10/2020,5:39:39,6221.779980300001,0.0,17.6325,1.2833333333333334
78,9/10/2020,5:39:40,6218.1597654,0.0,17.6325,1.3
79,9/10/2020,5:39:41,6212.580908400001,0.0,17.606457000000002,1.3166666666666667
80,9/10/2020,5:39:42,6229.247607,0.0,17.606457000000002,1.3333333333333333
81,9/10/2020,5:39:43,6212.664404099999,0.0,17.658545999999998,1.35
82,9/10/2020,5:39:44,6213.398291100001,0.0,17.606457000000002,1.3666666666666667
83,9/10/2020,5:39:45,6212.496972600001,0.0,17.658545999999998,1.3833333333333333
84,9/10/2020,5:39:46,6223.89375,0.0,17.580412,1.4
85,9/10/2020,5:39:47,6225.474902399999,0.0,17.762724,1.4166666666666667
86,9/10/2020,5:39:48,6210.4491207,0.0,17.762724,1.4333333333333333
87,9/10/2020,5:39:49,6212.592773100001,0.0,17.918999,1.45
88,9/10/2020,5:39:50,6206.599951200001,0.0,17.945044,1.4666666666666666
89,9/10/2020,5:39:51,6209.0085942,0.0,17.89295,1.4833333333333334
90,9/10/2020,5:39:52,6193.9955565,0.0,17.89295,1.5
91,9/10/2020,5:39:53,6207.8484375,0.0,17.840861999999998,1.5166666666666666
92,9/10/2020,5:39:54,6201.920214899999,0.0,17.710638,1.5333333333333334
93,9/10/2020,5:39:55,6206.1191892,0.0,17.710638,1.55
94,9/10/2020,5:39:56,6216.027978600001,0.0,17.658545999999998,1.5666666666666667
95,9/10/2020,5:39:57,6259.1739255,0.0,17.658545999999998,1.5833333333333333
96,9/10/2020,5:39:58,6230.8261233,0.0,17.762724,1.6
97,9/10/2020,5:39:59,6235.522119,0.0020629999999999997,17.736681,1.6166666666666667
98,9/10/2020,5:40:00,6216.296923799999,0.008288,18.127357,1.6333333333333333
99,9/10/2020,5:40:01,6217.008398100001,0.014455,18.231537,1.65
100,9/10/2020,5:40:02,6207.7205564999995,0.016375,18.153402,1.6666666666666667
101,9/10/2020,5:40:03,6189.361523100001,0.0134,18.023176,1.6833333333333333
102,9/10/2020,5:40:04,6201.4645017,0.010409,17.89295,1.7
103,9/10/2020,5:40:05,6195.9058596,0.007898,17.762724,1.7166666666666666
104,9/10/2020,5:40:06,6213.4910154,0.007898,17.762724,1.7333333333333334
105,9/10/2020,5:40:07,6229.570166100001,0.004932,17.788773000000003,1.75
106,9/10/2020,5:40:08,6367.254345900001,0.002781,17.997131,1.7666666666666666
107,9/10/2020,5:40:09,6557.8025394,0.0033079999999999997,17.89295,1.7833333333333334
108,9/10/2020,5:40:10,6729.172119,0.004524,18.179447,1.8
109,9/10/2020,5:40:11,6913.7626463999995,0.002823,19.58588,1.8166666666666667
110,9/10/2020,5:40:12,7104.265576200001,0.0,25.393926999999998,1.8333333333333333
111,9/10/2020,5:40:13,7256.1849606000005,0.0,27.529619,1.85
112,9/10/2020,5:40:14,7310.7861327,0.0,30.23831,1.8666666666666667
113,9/10/2020,5:40:15,7402.3549803000005,0.0,30.23831,1.8833333333333333
114,9/10/2020,5:40:16,7513.0391601,0.0,32.009373,1.9
115,9/10/2020,5:40:17,7587.3796875,0.0,33.337669,1.9166666666666667
116,9/10/2020,5:40:18,7662.1060548,0.0,35.655674,1.9333333333333333
117,9/10/2020,5:40:19,7726.6300779,0.0,37.296516,1.95
118,9/10/2020,5:40:20,7768.572362999999,0.0,38.963402,1.9666666666666666
119,9/10/2020,5:40:21,7781.987988,0.0,41.489773,1.9833333333333334
120,9/10/2020,5:40:22,7809.8616207000005,0.0,41.906490000000005,2.0
121,9/10/2020,5:40:23,7912.2779298,0.001565,42.088809999999995,2.0166666666666666
122,9/10/2020,5:40:24,7988.2576173,0.001565,42.088809999999995,2.033333333333333
123,9/10/2020,5:40:25,8095.324219200001,0.000517,42.765976,2.05
124,9/10/2020,5:40:26,8196.5469726,0.0,44.06823,2.066666666666667
125,9/10/2020,5:40:27,8275.7364255,0.0,45.969521,2.0833333333333335
126,9/10/2020,5:40:28,8322.6867192,0.0,47.193634,2.1
127,9/10/2020,5:40:29,8342.3047851,0.0,47.974990999999996,2.1166666666666667
128,9/10/2020,5:40:30,8352.7558596,0.0,48.886565999999995,2.1333333333333333
129,9/10/2020,5:40:31,8349.0020505,0.0,48.938648,2.15
130,9/10/2020,5:40:32,8336.543554799999,0.0,48.964703,2.1666666666666665
131,9/10/2020,5:40:33,8325.0008793,0.0,48.964703,2.183333333333333
132,9/10/2020,5:40:34,8312.6469726,0.0,49.042835,2.2
133,9/10/2020,5:40:35,8308.600488,0.0,49.173065,2.216666666666667
134,9/10/2020,5:40:36,8302.7478519,0.0,49.120971999999995,2.2333333333333334
135,9/10/2020,5:40:37,8304.274512,0.0,49.094925,2.25
136,9/10/2020,5:40:38,8290.9467774,0.0,49.016788,2.2666666666666666
